index,prediction
25300,2.75in/7cm
25301,"1.4"""
25302,"4"""
25303,"9"""
25304,"6"""
25305,104cm
25306,"60cm/23.6"""
25307,"60cm/23.6"""
25308,192cm
25309,21 cm
25310,21 cm
25311,8 inches
25312,80mm
25313,5.5cm/2.16in
25314,"9.8"""
25315,"9.8"""
25316,"9.8"""
25317,"Sorry, as a base VLM I am not trained to answer this question."
25318,13.5cm
25319,13.5cm
25320,37.5 in 95 cm
25321,19.5
25322,3.35
25323,7.75
25324,42mm
25325,42mm
25326,45mm
25327,3.14in
25328,31 cm
25329,8 cm
25330,70.9
25331,3.9 inch
25332,5.3 inch
25333,"Sorry, as a base VLM I am not trained to answer this question."
25334,3.5v
25335,60mm
25336,2.5cm
25337,"3"""
25338,"3"""
25339,14cm
25340,21cm
25341,50 cm
25342,4.5cm/1.8cm
25343,3.1v
25344,31.5
25345,100cm
25346,81 cm
25347,19
25348,14.56in
25349,500lbs/227kg
25350,500lbs/227kg
25351,18mm
25352,51.5
25353,30.8cm
25354,80x100cm
25355,80-200cm
25356,3 cm
25357,3 cm
25358,0.75in
25359,12
25360,1.5
25361,0.89in
25362,40.5 cm
25363,1
25364,"17"""
25365,"17"""
25366,82 cm
25367,9mm
25368,3.5cm
25369,13cm/5.11in
25370,3.14in/8cm
25371,8.5cm
25372,18cm
25373,22mm
25374,15.16
25375,"Sorry, as a base VLM I am not trained to answer this question."
25376,3.75V
25377,200g
25378,"40cm / 16"""
25379,65cm
25380,16
25381,1.72kg
25382,4.8cm
25383,4.8cm
25384,3.3
25385,"Sorry, as a base VLM I am not trained to answer this question."
25386,350w
25387,3.15
25388,"Sorry, as a base VLM I am not trained to answer this question."
25389,17cm
25390,340g
25391,"3"" (7.6cm)"
25392,30cm
25393,75cm
25394,4.5cm
25395,4.5cm
25396,21cm
25397,8.3cm
25398,180 cm
25399,100 x 100 cm
25400,0.6
25401,"2.76""/70mm"
25402,"14cm/5.51"""
25403,"25.4cm/10.00"""
25404,21.5
25405,49
25406,6 inch
25407,31 cm
25408,1.8mm
25409,13.8 oz
25410,22*15
25411,210mm
25412,15.1
25413,5cm/2in
25414,5.1
25415,5.5 cm
25416,1.52 cm
25417,"Sorry, as a base VLM I am not trained to answer this question."
25418,"7.5"""
25419,"Sorry, as a base VLM I am not trained to answer this question."
25420,105cm/55cm
25421,2.5cm
25422,2.5cm
25423,16.4cm
25424,16 oz
25425,18.5cm/7.3in
25426,1.85in
25427,10.5cm/4.13in
25428,3cm/1.18 inch
25429,3cm/1.18 inch
25430,15.24inches
25431,300g
25432,24 cm
25433,8.5cm/3.3in
25434,8.5cm/3.3in
25435,3.12
25436,97mm
25437,14.1 oz
25438,23cm / 9.04in
25439,5.7in
25440,12v
25441,"Sorry, as a base VLM I am not trained to answer this question."
25442,1.44 in
25443,1.42
25444,11.42
25445,20in
25446,27 cm
25447,85 x 27 cm
25448,2.7 oz
25449,300 mg
25450,72 inch
25451,2.5inch
25452,"Sorry, as a base VLM I am not trained to answer this question."
25453,12v
25454,1.26lbs
25455,6
25456,3.4cm
25457,3.8cm
25458,11mm
25459,2
25460,100cm
25461,ca.130cm
25462,110cm
25463,110cm
25464,700lbs
25465,1
25466,400lbs
25467,20 lbs
25468,12in
25469,30.5cm
25470,120cm
25471,120cm
25472,120cm
25473,5.9 inch
25474,5.9 inch
25475,3cm/1.18in
25476,7.9 in / 20.0 cm
25477,14cm
25478,5.01
25479,5.01
25480,1010mm/1115mm
25481,"Sorry, as a base VLM I am not trained to answer this question."
25482,23cm
25483,"Sorry, as a base VLM I am not trained to answer this question."
25484,13.5 inch / 34.7 cm
25485,5
25486,1cm
25487,5.5cm
25488,8.25 in
25489,2.5 in
25490,12v
25491,"Sorry, as a base VLM I am not trained to answer this question."
25492,92cm
25493,oz
25494,2.84 in
25495,2.84 in
25496,20.8kg/45.9lb
25497,2inch
25498,60 cm
25499,8.5
25500,unanswerable
25501,25.5mm
25502,23.5
25503,12cm/4.72inch
25504,"40cm/15.7"""
25505,13 inch
25506,13 inch
25507,13 inch
25508,"2.1"""
25509,8cm
25510,8cm
25511,"1.97"""
25512,"1.97"""
25513,160cm
25514,72cm
25515,50cm
25516,9cm/3.54in
25517,"Sorry, as a base VLM I am not trained to answer this question."
25518,3.28 ft
25519,3.28 ft
25520,34cm
25521,13cm
25522,11.4
25523,11.4
25524,11.4
25525,23cm/9.1in
25526,20cm/7.9in
25527,5.75 inch
25528,15.75 inch
25529,about 6.2cm
25530,"6.30"""
25531,5.8in/15cm
25532,5.8in/15cm
25533,4.9cm
25534,60cm
25535,97mm
25536,35mm
25537,"35mm, mm"
25538,cm
25539,4.3cm
25540,2.5 oz
25541,7.48in
25542,11.8in
25543,30cm/11.8in
25544,30cm/11.8in
25545,35cm
25546,5mm
25547,1.8cm
25548,1.8cm
25549,"20"""
25550,20.5cm
25551,20.5cm
25552,29 in
25553,41 in
25554,"4"""
25555,"10"""
25556,5.5in/14cm
25557,27.5cm
25558,44 in/11.3 cm
25559,4.4 in/11.3 cm
25560,12.2 cm
25561,12.2 cm
25562,12.2 cm
25563,10kg
25564,17.5cm
25565,11.5cm
25566,35 cm
25567,30 cm
25568,6 cm
25569,10.6 in / 27 cm
25570,3.1 in / 8.5 cm
25571,30 mm
25572,800lbs
25573,2.1
25574,2.6
25575,22.5 cm/8.7 in
25576,1.76lbs
25577,60w
25578,17 inch
25579,17 inch
25580,10.6 in / 27 cm
25581,10.6 in / 27 cm
25582,5.6 in / 14.3 cm
25583,2.75
25584,7cm/2.75in
25585,60cm
25586,"13.8"""
25587,0.01 ounces
25588,14.0 fluid ounces
25589,"4.1"""
25590,2.75
25591,"63/4"""
25592,9 cm
25593,2.47 in
25594,12 cm
25595,65cm/25.6in
25596,65cm/25.6in
25597,unanswerable
25598,unanswerable
25599,3.75
25600,"1.75"""
25601,"1.75"""
25602,34in
25603,6.7in
25604,177mm
25605,600g
25606,5cm
25607,17cm
25608,5 oz
25609,17cm/6.7in
25610,1.5m
25611,1.5m
25612,120kg
25613,120kg
25614,3.4cm/1.3inch
25615,4.5cm/1.8inch
25616,"8.5cm, 11cm"
25617,11cm
25618,125cm
25619,"Sorry, as a base VLM I am not trained to answer this question."
25620,"12cm/4.7"""
25621,"12cm/4.7"""
25622,11.5cm/4.52in
25623,11.5cm
25624,5.9inch/15cm
25625,1.5cm
25626,"72"""
25627,"72"""
25628,"6-3/16"""
25629,"16"""
25630,"16"""
25631,"16"""
25632,38.5 cm
25633,55.5 cm
25634,0.023kg
25635,5.9 in / 15 cm
25636,9.4 in / 24 cm
25637,12.2 in / 31 cm
25638,200kg
25639,0.5 inch
25640,6.1in
25641,7.5cm/2.95in
25642,"5"""
25643,13cm/5.1in
25644,6.7cm/2.6in
25645,41 cm
25646,4.13
25647,4.13
25648,11.7
25649,2.1in
25650,58cm
25651,16.5cm
25652,14
25653,3.54inch
25654,18cm
25655,3v
25656,20ml
25657,280mm
25658,6.25
25659,15cm
25660,15cm
25661,"Sorry, as a base VLM I am not trained to answer this question."
25662,"Sorry, as a base VLM I am not trained to answer this question."
25663,64 cm
25664,2.75 inch
25665,2.75 inch
25666,6.5cm/2.56in
25667,13
25668,"10"""
25669,"10"""
25670,24v
25671,21.5cm
25672,"Sorry, as a base VLM I am not trained to answer this question."
25673,"Sorry, as a base VLM I am not trained to answer this question."
25674,600w
25675,45 cm
25676,45 cm
25677,"Sorry, as a base VLM I am not trained to answer this question."
25678,"10.5"""
25679,"10.5"""
25680,"Sorry, as a base VLM I am not trained to answer this question."
25681,12.5cm
25682,4.9in
25683,7.84ft
25684,3.28
25685,4.3cm
25686,"Sorry, as a base VLM I am not trained to answer this question."
25687,6.2cm/2.44inch
25688,6.2cm/2.44inch
25689,1.16
25690,60w
25691,60v
25692,"3.5"" (8.91 cm)"
25693,"3.5"" (8.91 cm)"
25694,18.5
25695,34.55
25696,3 inch
25697,3 inch
25698,3 inch
25699,5.75
25700,"64"""
25701,0.57 pounds
25702,"11.5cm/4.53"""
25703,1.81inch
25704,12oz
25705,6.3 inch
25706,6.69 inch
25707,6.3 inch
25708,3.3ft
25709,"30.70"""
25710,53mm
25711,53mm
25712,33mm
25713,13x18in
25714,13x18in
25715,15.7in
25716,9cm
25717,13cm
25718,9cm
25719,88cm
25720,6 cm
25721,2.5cm
25722,16mm
25723,16mm
25724,1.2kg
25725,1.2kg
25726,23.57
25727,unanswerable
25728,9cm
25729,9cm
25730,1.18 in (3cm)
25731,2.83 in / 7.2cm
25732,21.3
25733,20 oz
25734,"Sorry, as a base VLM I am not trained to answer this question."
25735,7cm
25736,13cm
25737,1.6kg/3.5lb
25738,20v
25739,20v
25740,27 cm
25741,27 cm
25742,27 cm
25743,120
25744,150
25745,"Sorry, as a base VLM I am not trained to answer this question."
25746,20cm
25747,70.0mm
25748,"115.0mm (4.52"")"
25749,81
25750,12v
25751,1.5w
25752,2cm/0.78inch
25753,11.8 in
25754,11.8 in
25755,16.5cm/6.56in
25756,10
25757,107cm/42.1inch
25758,107cm/42.1inch
25759,6.6
25760,"Sorry, as a base VLM I am not trained to answer this question."
25761,"Sorry, as a base VLM I am not trained to answer this question."
25762,198.12cm
25763,22cm
25764,22cm
25765,22cm
25766,42cm
25767,50cm/19.7in
25768,15cm
25769,22cm
25770,2.5inch
25771,28 cm
25772,28 cm
25773,"3.34"""
25774,"3.34"""
25775,"7"""
25776,"9v, 2200mah battery"
25777,21cm
25778,12mm / 4.72in
25779,6mm / 2.36in
25780,9.8cm
25781,10cm
25782,0.15 oz
25783,3.9 inch / 10 cm
25784,"5.12"""
25785,14.25
25786,210cm
25787,180cm
25788,3ft
25789,"19"""
25790,203cm
25791,203cm
25792,21v
25793,30cm
25794,"7.1"""
25795,3.5
25796,13.2cm
25797,450g
25798,3.54 in / 9 cm
25799,144.5
25800,19.68in
25801,2mm
25802,62mm
25803,18
25804,15
25805,20kg
25806,84.5 cm
25807,84.5 cm
25808,7.7cm
25809,7.7cm
25810,3.15 in
25811,7.08 in
25812,10
25813,35cm
25814,35cm
25815,41cm
25816,12 in/300mm
25817,12 in/300mm
25818,12 in/300mm
25819,380mm
25820,"Sorry, as a base VLM I am not trained to answer this question."
25821,"2.12"" /54mm"
25822,3.93inch
25823,8.65inch
25824,350g
25825,5.1in
25826,5.1in
25827,"Sorry, as a base VLM I am not trained to answer this question."
25828,"Sorry, as a base VLM I am not trained to answer this question."
25829,31.5 cm
25830,24 cm
25831,16mm
25832,16mm
25833,8.66
25834,8.6 oz
25835,3.5
25836,2.5cm
25837,8.5cm
25838,12cm
25839,9mm
25840,2.8cm/1.10in
25841,"19"""
25842,"30"""
25843,3.54in / 9 cm
25844,3.54in / 9 cm
25845,140 mm
25846,200 mm
25847,205cm
25848,"25cm/9.8"""
25849,"6.7"""
25850,"6.7"""
25851,8.5cm/3.34in
25852,25cm
25853,15.7
25854,100cm
25855,2.5mm
25856,2.5mm
25857,12mm
25858,4
25859,33 cm/13 inch
25860,1.6 in
25861,1.6 in
25862,5.3cm
25863,10.5cm
25864,4.23in
25865,32 oz
25866,26mm
25867,26mm
25868,"Sorry, as a base VLM I am not trained to answer this question."
25869,40 mesh
25870,1.5cm
25871,2.74in
25872,3.15cm
25873,120
25874,"Sorry, as a base VLM I am not trained to answer this question."
25875,120w
25876,"Sorry, as a base VLM I am not trained to answer this question."
25877,16 in
25878,6.3kg
25879,6.3kg
25880,2.5cm
25881,22.5cm
25882,2.5cm
25883,90cm
25884,90cm
25885,4cm
25886,6mm
25887,10cm
25888,"14"""
25889,5.71
25890,3.54 in /9.0 cm
25891,3.54 in /9.0 cm
25892,7.87in
25893,7.87in
25894,7.87in
25895,205mm
25896,11 inch
25897,14 oz
25898,2.5mm
25899,50mm
25900,1.5cm/0.6in
25901,52cm
25902,34.34
25903,24cm
25904,24cm
25905,24cm
25906,47mm
25907,15mm
25908,17.0000
25909,44cm
25910,8.8cm
25911,8.8cm
25912,1500
25913,120
25914,70 cm
25915,70 cm
25916,8 inch
25917,8 inch
25918,"Sorry, as a base VLM I am not trained to answer this question."
25919,120
25920,"12"" (30.5cm)"
25921,12.5cm
25922,12.5cm
25923,2.16in
25924,59mm/2.16in
25925,54cm/21.3in
25926,120v/60hz
25927,1
25928,7.5cm/3.1in
25929,"13.85"""
25930,25cm/9.8in
25931,9.8in
25932,10.7 lb
25933,1200w
25934,120v
25935,7.5
25936,"Sorry, as a base VLM I am not trained to answer this question."
25937,18v
25938,1300w
25939,5.11
25940,5.11
25941,1.5kg
25942,12v
25943,120mm/4.72in
25944,150mm/5.91in
25945,1200w
25946,4tb
25947,2.5 inch
25948,2.5 inch
25949,18
25950,5.12 in
25951,210cm
25952,13.1 inch
25953,0.98
25954,"1,000 watt"
25955,"1000 watt, volt"
25956,5.91inch/15cm
25957,3.1in
25958,3.1in
25959,4.5
25960,76 cm
25961,"Sorry, as a base VLM I am not trained to answer this question."
25962,120
25963,53
25964,37cm
25965,37cm
25966,14cm
25967,11.7cm/4.6in
25968,6.7inch(170mm)
25969,10cm
25970,12cm 10cm
25971,27.2 cm
25972,16cm/6.2in
25973,23cm
25974,9.1in
25975,"Sorry, as a base VLM I am not trained to answer this question."
25976,230v
25977,220v
25978,"Sorry, as a base VLM I am not trained to answer this question."
25979,"Sorry, as a base VLM I am not trained to answer this question."
25980,kg
25981,340w
25982,300 mm
25983,110 mm
25984,unanswerable
25985,unanswerable
25986,95 cm
25987,3.5 inch
25988,"10.5"" / 26.67 cm"
25989,"6.5"" / 16.51 cm"
25990,"6.5"" / 16.51 cm"
25991,40mm
25992,"1.18"""
25993,3.4 inch
25994,13.5cm
25995,13.5cm
25996,12 fl oz
25997,8.5 cm
25998,8.5 cm
25999,7 cm
26000,67mm
26001,67mm
26002,12cm
26003,10cm
26004,50mm/1.9in
26005,11mm
26006,11mm
26007,"Sorry, as a base VLM I am not trained to answer this question."
26008,110mm
26009,110mm
26010,25
26011,12v
26012,1.6in/4cm
26013,5cm
26014,13cm
26015,37 lbs
26016,15.5 cm
26017,15.5 cm
26018,5.5
26019,1.5mm
26020,640mm
26021,410mm
26022,5.0 inch
26023,5.0 inch
26024,14
26025,14
26026,"Sorry, as a base VLM I am not trained to answer this question."
26027,15cm
26028,17cm
26029,"15.7"""
26030,150cm/59.1in
26031,28 oz
26032,"11.5"""
26033,31cm/12.2in
26034,150 mm
26035,150 mm
26036,5cm
26037,180 cm
26038,180 cm
26039,21.7cm
26040,21.7cm
26041,1.5cm
26042,10.7cm
26043,3 inches
26044,3 inches
26045,60cm
26046,60cm
26047,"Sorry, as a base VLM I am not trained to answer this question."
26048,"Sorry, as a base VLM I am not trained to answer this question."
26049,"Sorry, as a base VLM I am not trained to answer this question."
26050,33.49
26051,33.49
26052,33.49
26053,37.4 in
26054,"1,50m"
26055,8.6 cm
26056,77mm
26057,77mm
26058,77mm
26059,42 cm
26060,42 cm
26061,3.75inch
26062,2.95inch(7.5cm)
26063,3.75inch(9.5cm)
26064,2.8in/7.5cm
26065,80 cm
26066,40 cm
26067,39 cm
26068,110lbs
26069,7.5cm
26070,7.5cm
26071,18 in
26072,15
26073,unanswerable
26074,1 lb
26075,1 oz
26076,109.1
26077,8.3
26078,14.7in/374mm
26079,72 inch
26080,1 inch
26081,100ml
26082,unanswerable
26083,42.5 inches
26084,0
26085,1.7 inch
26086,about 9cm
26087,110cm
26088,90
26089,"Sorry, as a base VLM I am not trained to answer this question."
26090,5.9
26091,28cm
26092,9cm
26093,9cm
26094,13
26095,3.5 in
26096,29.5
26097,1
26098,50 x 200cm
26099,200cm
26100,22.1g
26101,42cm
26102,70 cm
26103,23 kg (51 lbs)
26104,2.3kg
26105,2.3kg
26106,14 cm
26107,14 cm
26108,fl oz
26109,30cm / 11.81inch
26110,14.5cm
26111,"Sorry, as a base VLM I am not trained to answer this question."
26112,15.7inch
26113,7.08 in / 18 cm
26114,1.85 in / 4.75 cm
26115,"2.35"""
26116,80 cm
26117,"Sorry, as a base VLM I am not trained to answer this question."
26118,30mm
26119,30mm
26120,300mm
26121,13.18
26122,10cm
26123,10cm
26124,80mm 215mm
26125,"Sorry, as a base VLM I am not trained to answer this question."
26126,115mm
26127,115mm
26128,18.5 cm
26129,10cm
26130,10lb
26131,8 fl oz
26132,24 mm
26133,5.1 v
26134,35cm/13.77in
26135,4.7in
26136,17.87 inch
26137,16
26138,1.65
26139,12v
26140,2.7w
26141,50mm
26142,12v
26143,9.5 cm
26144,15
26145,32 oz
26146,1.6
26147,3.2
26148,1.6
26149,43cm
26150,7.3inch
26151,11.6inch
26152,170 g
26153,12 oz
26154,1200
26155,265 lbs
26156,3.8in
26157,3.8in
26158,10cm/3.94inch
26159,78.74inch
26160,14cm/5.5inch
26161,35cm
26162,730mm
26163,230mm
26164,15 cm
26165,What is the item depth? Mention the unit too
26166,What is the item height? Mention the unit too
26167,What is the item net weight? Mention the unit too
26168,What is the item depth? Mention the unit too
26169,What is the item height? Mention the unit too
26170,What is the item width? Mention the unit too
26171,5cm
26172,"Sorry, as a base VLM I am not trained to answer this question."
26173,90cm
26174,"Sorry, as a base VLM I am not trained to answer this question."
26175,unanswerable
26176,19.5cm
26177,2.4cm
26178,2.4cm
26179,2.4cm
26180,60 cm
26181,28cm
26182,18cm
26183,38 mm
26184,38 mm
26185,8.5in/21.5cm
26186,1.5cm
26187,1.57
26188,103 cm
26189,42 cm
26190,"2.1"""
26191,5.5 in / 13 cm
26192,1.5 cm
26193,42 cm
26194,11cm
26195,"2.17"""
26196,356g
26197,1.5
26198,6.1
26199,12 cm
26200,13 cm
26201,0.7
26202,14.2in
26203,15 cm
26204,"17.7"""
26205,unanswerable
26206,"60.3"""
26207,unanswerable
26208,70 in 21 in 23 in
26209,31.5cm
26210,15
26211,65 mm
26212,"40"" (102 cm)"
26213,"Sorry, as a base VLM I am not trained to answer this question."
26214,"Sorry, as a base VLM I am not trained to answer this question."
26215,0.32lbs
26216,"Sorry, as a base VLM I am not trained to answer this question."
26217,11.1
26218,7.87
26219,15cm
26220,5.91in
26221,26cm
26222,"54mm/2.13"""
26223,54mm
26224,2.3lb
26225,unanswerable
26226,"1.8"" (4.6cm)"
26227,1.65 in / 4.20 cm
26228,55cm
26229,100cm
26230,15
26231,18
26232,"9.4"" (24cm)"
26233,24cm
26234,11.41 in / 29 cm
26235,6.8 cm
26236,6.8 cm
26237,23.3
26238,3.2cm
26239,3.2cm
26240,3.2cm
26241,115mm
26242,108mm
26243,9
26244,18.3 cm
26245,13
26246,5.4 cm/2.16 in
26247,5.8 cm/2.32 in
26248,12v
26249,2.5w
26250,13 cm
26251,13 cm
26252,22in/55cm
26253,22in
26254,300mm
26255,300mm
26256,12
26257,12 in
26258,6lbs
26259,79cm
26260,16cm
26261,16cm
26262,16cm
26263,32cm
26264,15cm
26265,12cm
26266,40.5 in 103 cm
26267,103 cm
26268,103 cm
26269,24
26270,"24"""
26271,35
26272,10-46lbs
26273,3cm
26274,1.2cm
26275,5.3cm/2.09in
26276,1.5 inch
26277,"4.7"""
26278,"9.3"" (23.5cm)"
26279,"4.7"""
26280,120.0 volts
26281,120.0 volts
26282,150mm
26283,2m
26284,1.05m
26285,3.7 inch
26286,3.7 inch
26287,3.5
26288,1.9in/48mm
26289,1.9in
26290,15cm/5.9in
26291,60 mm
26292,35.4 in / 90.0 cm
26293,11cm/4.3in
26294,5.1in
26295,1.3cm/0.67in
26296,160mm
26297,125mm 160mm
26298,9.5
26299,4.9 in / 12.5 cm
26300,4.9 in / 12.5 cm
26301,3.23 oz
26302,15.5 cm
26303,7.5 cm
26304,22.5cm
26305,31.4cm
26306,40 lbs
26307,5.9in
26308,15cm
26309,26cm/10.2in
26310,250 cm
26311,17.7
26312,17.7
26313,17.7
26314,"3.75"""
26315,"30.1"""
26316,"Sorry, as a base VLM I am not trained to answer this question."
26317,1
26318,3500 lbs
26319,0.8 in / 2.0 cm
26320,100 cm
26321,17.7
26322,"Sorry, as a base VLM I am not trained to answer this question."
26323,7.5cm
26324,1.85
26325,25mm/0.98in
26326,25mm
26327,6.9 inch
26328,1.9 inch
26329,29.5cm
26330,14.8cm
26331,9.5cm
26332,8 fl oz
26333,"4.3"""
26334,"2.8"""
26335,113cm
26336,60cm
26337,3.5in
26338,3.5in
26339,60cm
26340,24cm
26341,32cm
26342,2.67 in / 6.8 cm
26343,2.67 in / 6.8 cm
26344,"2"""
26345,25
26346,"2"""
26347,30.5cm/12in
26348,41cm/16 inch
26349,14cm/5.5inch
26350,220lbs
26351,26cm/10.2in
26352,6.3cm/2.5in
26353,4.2kg
26354,4.2kg
26355,10.5cm
26356,12 cm
26357,2.2cm
26358,2.2cm
26359,1
26360,unanswerable
26361,1
26362,"Sorry, as a base VLM I am not trained to answer this question."
26363,153cm
26364,85cm
26365,30.0 in
26366,76 cm / 30.0 in (for 27.5in wheel)
26367,unanswerable
26368,18.6 cm
26369,"30"""
26370,"75"""
26371,7.5cm/2.95in
26372,7.5cm/2.95in
26373,14.5cm
26374,3.54
26375,3.54
26376,8 cm
26377,3.5in/9cm
26378,1.5in/4cm
26379,98 mm
26380,31cm
26381,31cm/12.21inch
26382,2.3kg
26383,"Sorry, as a base VLM I am not trained to answer this question."
26384,120v
26385,unanswerable
26386,"84 cm 33.1"""
26387,6.5 cm
26388,"4-5/8"""
26389,"4-5/8"""
26390,10cm
26391,30cm
26392,1 inch
26393,5.5 inch
26394,3.2 in
26395,3.2 in
26396,3.2 in
26397,"115 cm(45.2"" )"
26398,3.2 in
26399,0.7 in
26400,7 cm
26401,7 cm
26402,16 inch
26403,30 oz
26404,4.2cm
26405,4.2cm
26406,5cm
26407,1.5 oz
26408,10 cm
26409,8 cm
26410,"3.2"""
26411,8.38oz/21g
26412,1.8
26413,"57"" (145cm)"
26414,"30"""
26415,102 cm
26416,33.5
26417,12
26418,26cm
26419,"Sorry, as a base VLM I am not trained to answer this question."
26420,5.12inch
26421,1.5 in / 4 cm
26422,"Sorry, as a base VLM I am not trained to answer this question."
26423,165cm
