index,prediction
25148,9.5 centimetre
25149,6 centimetre
25150,"10"""
25151,"10"""
25152,"36"""
25153,36 centimetre
25154,1.6 inch
25155,1.6 inch
25156,1.1 inch
25157,
25158,21.6 centimetre
25159,31.8 centimetre
25160, pounds
25161,240 millimetre
25162,76 millimetre
25163,"3"""
25164,2 1
25165,6.5 millimetre
25166, kilogram
25167,
25168,1500 watt
25169,
25170,420 millimetre
25171,420 millimetre
25172,14 millimetre
25173,30 millimetre
25174,"12.55"" 31.9cm"
25175,32 pounds
25176,4 millimetre
25177,
25178,12 centimetre
25179,12 centimetre
25180,12 centimetre
25181,244 480w
25182,230 volts
25183,25 centimetre
25184,215 centimetre
25185,215 centimetre
25186,220 watts
25187,
25188,9.4in 5.5in 11.8in
25189,200 millimetre
25190,30 centimetre
25191,11 centimetre
25192,9.3 centimetre
25193,9.3 centimetre
25194,30 centimetre
25195,12 centimetre
25196,"2,5 centimetre"
25197,7.5 centimetre
25198,37 centimetre
25199,30 kilogram
25200,22 millimetre
25201,22 millimetre
25202,22 millimetre
25203,20 inch
25204,42 inch
25205,12 centimetre
25206,12 centimetre
25207,25 centimetre
25208,
25209,37 centimetre
25210,44 centimetre
25211,14.17 centimetre
25212,32 ounce
25213,11 centimetre
25214,510 gram
25215,49 centimetre
25216,20 centimetre
25217,2.5 centimetre
25218,90 centimetre
25219,15 centimetre
25220,
25221,2.75 centimetre
25222,27.5 centimetre
25223,27.5 centimetre
25224,41.5 centimetre
25225,
25226,150 millimetre
25227,250 millilitre
25228,0.8 inch
25229,0.8 inch
25230,120v 60hz
25231,5 watts
25232,3.35 inch
25233,3.35 centimetre
25234,2.79 inch
25235,2.79 inch
25236,2.4 inch
25237,0. 2
25238,0. 2
25239,20 volts
25240,7.5 centimetre
25241,12 volt
25242,12 volt
25243,
25244,19 centimetre
25245,49 centimetre
25246,12.5 centimetre
25247,"17,5 centimetre"
25248,"11cm, 50cm"
25249,11cm 50cm
25250,3.5 centimetre
25251,4 centimetre
25252,4 centimetre
25253,21 centimetre
25254,145 gram
25255,1100 watt
25256,3.6 volts
25257,175 millimetre
25258,175 millimetre
25259,37 centimetre
25260,11.5 centimetre
25261,11.5 centimetre
25262,1.18 inch
25263,7.8 inch
25264,124 centimetre
25265,"19"""
25266,"72"""
25267,26 centimetre
25268,180 centimetre
25269,26 centimetre
25270,40 centimetre
25271,120 centimetre
25272,10 centimetre
25273,3.94 inch
25274,45 watts
25275,6.8 kilogram
25276,16.5 centimetre
25277,15 centimetre
25278,21 centimetre
25279,16000 pascal
25280,
25281,
25282,6.8 centimetre
25283,7.4 centimetre
25284,"4.2"""
25285,"4.2"""
25286,
25287,
25288,30 centimetre
25289,11.5 centimetre
25290,11.5 centimetre
25291,30 centimetre
25292,2.4 inch
25293,120 millilitre
25294,
25295,
25296,120 volts
25297,5.91 inch
25298,130 millimetre
25299,2.15 inch
25300,2.75 inch
25301,"1.4"""
25302,"4"""
25303,"9"""
25304,"6"""
25305,104 centimetre
25306,60 centimetre
25307,60 centimetre
25308,192 centimetre
25309,21 centimetre
25310,21 centimetre
25311,8 inches
25312,80 millimetre
25313,5.5 centimetre
25314,"9.8"""
25315,"9.8"""
25316,"9.8"""
25317,
25318,13.5 centimetre
25319,13.5 centimetre
25320,37.5 in 95 centimetre
25321,19.5 centimetre
25322,3.35 centimetre
25323,7.75 centimetre
25324,42 millimetre
25325,42 millimetre
25326,45 millimetre
25327,3.14 inch
25328,31 centimetre
25329,8 centimetre
25330,70.9 centimetre
25331,3.9 inch
25332,5.3 inch
25333,
25334,3.5 volts
25335,60 millimetre
25336,2.5 centimetre
25337,"3"""
25338,"3"""
25339,14 centimetre
25340,21 centimetre
25341,50 centimetre
25342,4.5 centimetre
25343,3.1 volts
25344,31.5 centimetre
25345,100 centimetre
25346,81 centimetre
25347,19 gram
25348,14.56 inch
25349,500 pounds
25350,500 pounds
25351,18 millimetre
25352,51.5 centimetre
25353,30.8 centimetre
25354,80 x100cm
25355,80-200cm
25356,3 centimetre
25357,3 centimetre
25358,0.75 inch
25359,12 centimetre
25360,1.5 centimetre
25361,0.89 inch
25362,40.5 centimetre
25363,1 centimetre
25364,"17"""
25365,"17"""
25366,82 centimetre
25367,9 millimetre
25368,3.5 centimetre
25369,13 centimetre
25370,3.14 inch
25371,8.5 centimetre
25372,18 centimetre
25373,22 millimetre
25374,15.16 centimetre
25375,
25376,3.75 V
25377,200 gram
25378,40 centimetre
25379,65 centimetre
25380,16 centimetre
25381,1.72 kilogram
25382,4.8 centimetre
25383,4.8 centimetre
25384,3.3 centimetre
25385,
25386,350 watts
25387,3.15 centimetre
25388,
25389,17 centimetre
25390,340 gram
25391,"3"""
25392,30 centimetre
25393,75 centimetre
25394,4.5 centimetre
25395,4.5 centimetre
25396,21 centimetre
25397,8.3 centimetre
25398,180 centimetre
25399,100 x 100 centimetre
25400,0.6 centimetre
25401,"2.76"""
25402,14 centimetre
25403,25.4 centimetre
25404,21.5 watt
25405,49 volt
25406,6 inch
25407,31 centimetre
25408,1.8 millimetre
25409,13.8 ounce
25410,22*15
25411,210 millimetre
25412,15.1 centimetre
25413,5 centimetre
25414,5.1 centimetre
25415,5.5 centimetre
25416,1.52 centimetre
25417,
25418,"7.5"""
25419,
25420,105 centimetre
25421,2.5 centimetre
25422,2.5 centimetre
25423,16.4 centimetre
25424,16 ounce
25425,18.5 centimetre
25426,1.85 inch
25427,10.5 centimetre
25428,3 centimetre
25429,3 centimetre
25430,15.24 inches
25431,300 gram
25432,24 centimetre
25433,8.5 centimetre
25434,8.5 centimetre
25435,3.12 centimetre
25436,97 millimetre
25437,14.1 ounce
25438,23 centimetre
25439,5.7 inch
25440,12 volts
25441,
25442,1.44 inch
25443,1.42 centimetre
25444,11.42 centimetre
25445,20 inch
25446,27 centimetre
25447,85 x 27 centimetre
25448,2.7 ounce
25449,300 mg
25450,72 inch
25451,2.5 inch
25452,
25453,12 volts
25454,1.26 pounds
25455,6 centimetre
25456,3.4 centimetre
25457,3.8 centimetre
25458,11 millimetre
25459,2 centimetre
25460,100 centimetre
25461,ca.130cm
25462,110 centimetre
25463,110 centimetre
25464,700 pounds
25465,1 centimetre
25466,400 pounds
25467,20 pounds
25468,12 inch
25469,30.5 centimetre
25470,120 centimetre
25471,120 centimetre
25472,120 centimetre
25473,5.9 inch
25474,5.9 inch
25475,3 centimetre
25476,7.9 inch
25477,14 centimetre
25478,5.01 centimetre
25479,5.01 centimetre
25480,1010 millimetre
25481,
25482,23 centimetre
25483,
25484,13.5 inch
25485,5 centimetre
25486,1 centimetre
25487,5.5 centimetre
25488,8.25 inch
25489,2.5 inch
25490,12 volts
25491,
25492,92 centimetre
25493, ounce
25494,2.84 inch
25495,2.84 inch
25496,20.8 kilogram
25497,2 inch
25498,60 centimetre
25499,8.5 centimetre
25500,
25501,25.5 millimetre
25502,23.5 centimetre
25503,12 centimetre
25504,40 centimetre
25505,13 inch
25506,13 inch
25507,13 inch
25508,"2.1"""
25509,8 centimetre
25510,8 centimetre
25511,"1.97"""
25512,"1.97"""
25513,160 centimetre
25514,72 centimetre
25515,50 centimetre
25516,9 centimetre
25517,
25518,3.28 feet
25519,3.28 feet
25520,34 centimetre
25521,13 centimetre
25522,11.4 centimetre
25523,11.4 centimetre
25524,11.4 centimetre
25525,23 centimetre
25526,20 centimetre
25527,5.75 inch
25528,15.75 inch
25529,about 6.2cm
25530,"6.30"""
25531,5.8 inch
25532,5.8 inch
25533,4.9 centimetre
25534,60 centimetre
25535,97 millimetre
25536,35 millimetre
25537,"35mm, millimetre"
25538, centimetre
25539,4.3 centimetre
25540,2.5 ounce
25541,7.48 inch
25542,11.8 inch
25543,30 centimetre
25544,30 centimetre
25545,35 centimetre
25546,5 millimetre
25547,1.8 centimetre
25548,1.8 centimetre
25549,"20"""
25550,20.5 centimetre
25551,20.5 centimetre
25552,29 inch
25553,41 inch
25554,"4"""
25555,"10"""
25556,5.5 inch
25557,27.5 centimetre
25558,44 inch
25559,4.4 inch
25560,12.2 centimetre
25561,12.2 centimetre
25562,12.2 centimetre
25563,10 kilogram
25564,17.5 centimetre
25565,11.5 centimetre
25566,35 centimetre
25567,30 centimetre
25568,6 centimetre
25569,10.6 inch
25570,3.1 inch
25571,30 millimetre
25572,800 pounds
25573,2.1 centimetre
25574,2.6 centimetre
25575,22.5 centimetre
25576,1.76 pounds
25577,60 watts
25578,17 inch
25579,17 inch
25580,10.6 inch
25581,10.6 inch
25582,5.6 inch
25583,2.75 centimetre
25584,7 centimetre
25585,60 centimetre
25586,"13.8"""
25587,0.01 ounces
25588,14.0 fluid ounces
25589,"4.1"""
25590,2.75 centimetre
25591,6 3
25592,9 centimetre
25593,2.47 inch
25594,12 centimetre
25595,65 centimetre
25596,65 centimetre
25597,
25598,
25599,3.75 gram
25600,"1.75"""
25601,"1.75"""
25602,34 inch
25603,6.7 inch
25604,177 millimetre
25605,600 gram
25606,5 centimetre
25607,17 centimetre
25608,5 ounce
25609,17 centimetre
25610,1.5 metre
25611,1.5 metre
25612,120 kilogram
25613,120 kilogram
25614,3.4 centimetre
25615,4.5 centimetre
25616,"8.5cm, 11cm"
25617,11 centimetre
25618,125 centimetre
25619,
25620,12 centimetre
25621,12 centimetre
25622,11.5 centimetre
25623,11.5 centimetre
25624,5.9 inch
25625,1.5 centimetre
25626,"72"""
25627,"72"""
25628,6-3
25629,"16"""
25630,"16"""
25631,"16"""
25632,38.5 centimetre
25633,55.5 centimetre
25634,0.023 kilogram
25635,5.9 inch
25636,9.4 inch
25637,12.2 inch
25638,200 kilogram
25639,0.5 inch
25640,6.1 inch
25641,7.5 centimetre
25642,"5"""
25643,13 centimetre
25644,6.7 centimetre
25645,41 centimetre
25646,4.13 centimetre
25647,4.13 centimetre
25648,11.7 centimetre
25649,2.1 inch
25650,58 centimetre
25651,16.5 centimetre
25652,14 centimetre
25653,3.54 inch
25654,18 centimetre
25655,3 volts
25656,20 millilitre
25657,280 millimetre
25658,6.25 centimetre
25659,15 centimetre
25660,15 centimetre
25661,
25662,
25663,64 centimetre
25664,2.75 inch
25665,2.75 inch
25666,6.5 centimetre
25667,13 centimetre
25668,"10"""
25669,"10"""
25670,24 volts
25671,21.5 centimetre
25672,
25673,
25674,600 watts
25675,45 centimetre
25676,45 centimetre
25677,
25678,"10.5"""
25679,"10.5"""
25680,
25681,12.5 centimetre
25682,4.9 inch
25683,7.84 feet
25684,3.28 gram
25685,4.3 centimetre
25686,
25687,6.2 centimetre
25688,6.2 centimetre
25689,1.16 centimetre
25690,60 watts
25691,60 volts
25692,"3.5"""
25693,"3.5"""
25694,18.5 centimetre
25695,34.55 centimetre
25696,3 inch
25697,3 inch
25698,3 inch
25699,5.75 centimetre
25700,"64"""
25701,0.57 pounds
25702,11.5 centimetre
25703,1.81 inch
25704,12 ounce
25705,6.3 inch
25706,6.69 inch
25707,6.3 inch
25708,3.3 feet
25709,"30.70"""
25710,53 millimetre
25711,53 millimetre
25712,33 millimetre
25713,13 x18in
25714,13 x18in
25715,15.7 inch
25716,9 centimetre
25717,13 centimetre
25718,9 centimetre
25719,88 centimetre
25720,6 centimetre
25721,2.5 centimetre
25722,16 millimetre
25723,16 millimetre
25724,1.2 kilogram
25725,1.2 kilogram
25726,23.57 centimetre
25727,
25728,9 centimetre
25729,9 centimetre
25730,1.18 inch
25731,2.83 inch
25732,21.3 watt
25733,20 ounce
25734,
25735,7 centimetre
25736,13 centimetre
25737,1.6 kilogram
25738,20 volts
25739,20 volts
25740,27 centimetre
25741,27 centimetre
25742,27 centimetre
25743,120 centimetre
25744,150 volt
25745,
25746,20 centimetre
25747,70.0 millimetre
25748,115.0 millimetre
25749,81 volt
25750,12 volts
25751,1.5 watts
25752,2 centimetre
25753,11.8 inch
25754,11.8 inch
25755,16.5 centimetre
25756,10 centimetre
25757,107 centimetre
25758,107 centimetre
25759,6.6 gram
25760,
25761,
25762,198.12 centimetre
25763,22 centimetre
25764,22 centimetre
25765,22 centimetre
25766,42 centimetre
25767,50 centimetre
25768,15 centimetre
25769,22 centimetre
25770,2.5 inch
25771,28 centimetre
25772,28 centimetre
25773,"3.34"""
25774,"3.34"""
25775,"7"""
25776,"9v, 2200mah battery"
25777,21 centimetre
25778,12 millimetre
25779,6 millimetre
25780,9.8 centimetre
25781,10 centimetre
25782,0.15 ounce
25783,3.9 inch
25784,"5.12"""
25785,14.25 gram
25786,210 centimetre
25787,180 centimetre
25788,3 feet
25789,"19"""
25790,203 centimetre
25791,203 centimetre
25792,21 volts
25793,30 centimetre
25794,"7.1"""
25795,3.5 gram
25796,13.2 centimetre
25797,450 gram
25798,3.54 inch
25799,144.5 centimetre
25800,19.68 inch
25801,2 millimetre
25802,62 millimetre
25803,18 gram
25804,15 centimetre
25805,20 kilogram
25806,84.5 centimetre
25807,84.5 centimetre
25808,7.7 centimetre
25809,7.7 centimetre
25810,3.15 inch
25811,7.08 inch
25812,10 centimetre
25813,35 centimetre
25814,35 centimetre
25815,41 centimetre
25816,12 inch
25817,12 inch
25818,12 inch
25819,380 millimetre
25820,
25821,"2.12"""
25822,3.93 inch
25823,8.65 inch
25824,350 gram
25825,5.1 inch
25826,5.1 inch
25827,
25828,
25829,31.5 centimetre
25830,24 centimetre
25831,16 millimetre
25832,16 millimetre
25833,8.66 centimetre
25834,8.6 ounce
25835,3.5 centimetre
25836,2.5 centimetre
25837,8.5 centimetre
25838,12 centimetre
25839,9 millimetre
25840,2.8 centimetre
25841,"19"""
25842,"30"""
25843,3.54 inch
25844,3.54 inch
25845,140 millimetre
25846,200 millimetre
25847,205 centimetre
25848,25 centimetre
25849,"6.7"""
25850,"6.7"""
25851,8.5 centimetre
25852,25 centimetre
25853,15.7 centimetre
25854,100 centimetre
25855,2.5 millimetre
25856,2.5 millimetre
25857,12 millimetre
25858,4 centimetre
25859,33 centimetre
25860,1.6 inch
25861,1.6 inch
25862,5.3 centimetre
25863,10.5 centimetre
25864,4.23 inch
25865,32 ounce
25866,26 millimetre
25867,26 millimetre
25868,
25869,40 mesh
25870,1.5 centimetre
25871,2.74 inch
25872,3.15 centimetre
25873,120 centimetre
25874,
25875,120 watts
25876,
25877,16 inch
25878,6.3 kilogram
25879,6.3 kilogram
25880,2.5 centimetre
25881,22.5 centimetre
25882,2.5 centimetre
25883,90 centimetre
25884,90 centimetre
25885,4 centimetre
25886,6 millimetre
25887,10 centimetre
25888,"14"""
25889,5.71 centimetre
25890,3.54 inch
25891,3.54 inch
25892,7.87 inch
25893,7.87 inch
25894,7.87 inch
25895,205 millimetre
25896,11 inch
25897,14 ounce
25898,2.5 millimetre
25899,50 millimetre
25900,1.5 centimetre
25901,52 centimetre
25902,34.34 centimetre
25903,24 centimetre
25904,24 centimetre
25905,24 centimetre
25906,47 millimetre
25907,15 millimetre
25908,17.0000 centimetre
25909,44 centimetre
25910,8.8 centimetre
25911,8.8 centimetre
25912,1500 centimetre
25913,120 centimetre
25914,70 centimetre
25915,70 centimetre
25916,8 inch
25917,8 inch
25918,
25919,120 centimetre
25920,"12"""
25921,12.5 centimetre
25922,12.5 centimetre
25923,2.16 inch
25924,59 millimetre
25925,54 centimetre
25926,120 volts
25927,1 centimetre
25928,7.5 centimetre
25929,"13.85"""
25930,25 centimetre
25931,9.8 inch
25932,10.7 lb
25933,1200 watts
25934,120 volts
25935,7.5 centimetre
25936,
25937,18 volts
25938,1300 watts
25939,5.11 centimetre
25940,5.11 centimetre
25941,1.5 kilogram
25942,12 volts
25943,120 millimetre
25944,150 millimetre
25945,1200 watts
25946,4 tb
25947,2.5 inch
25948,2.5 inch
25949,18 centimetre
25950,5.12 inch
25951,210 centimetre
25952,13.1 inch
25953,0.98 centimetre
25954,"1,000 watt"
25955,"1000 watt, volt"
25956,5.91 inch
25957,3.1 inch
25958,3.1 inch
25959,4.5 centimetre
25960,76 centimetre
25961,
25962,120 centimetre
25963,53 centimetre
25964,37 centimetre
25965,37 centimetre
25966,14 centimetre
25967,11.7 centimetre
25968,6.7 inch
25969,10 centimetre
25970,12cm 10cm
25971,27.2 centimetre
25972,16 centimetre
25973,23 centimetre
25974,9.1 inch
25975,
25976,230 volts
25977,220 volts
25978,
25979,
25980, kilogram
25981,340 watts
25982,300 millimetre
25983,110 millimetre
25984,
25985,
25986,95 centimetre
25987,3.5 inch
25988,"10.5"""
25989,"6.5"""
25990,"6.5"""
25991,40 millimetre
25992,"1.18"""
25993,3.4 inch
25994,13.5 centimetre
25995,13.5 centimetre
25996,12 fl ounce
25997,8.5 centimetre
25998,8.5 centimetre
25999,7 centimetre
26000,67 millimetre
26001,67 millimetre
26002,12 centimetre
26003,10 centimetre
26004,50 millimetre
26005,11 millimetre
26006,11 millimetre
26007,
26008,110 millimetre
26009,110 millimetre
26010,25 centimetre
26011,12 volts
26012,1.6 inch
26013,5 centimetre
26014,13 centimetre
26015,37 pounds
26016,15.5 centimetre
26017,15.5 centimetre
26018,5.5 centimetre
26019,1.5 millimetre
26020,640 millimetre
26021,410 millimetre
26022,5.0 inch
26023,5.0 inch
26024,14 centimetre
26025,14 centimetre
26026,
26027,15 centimetre
26028,17 centimetre
26029,"15.7"""
26030,150 centimetre
26031,28 ounce
26032,"11.5"""
26033,31 centimetre
26034,150 millimetre
26035,150 millimetre
26036,5 centimetre
26037,180 centimetre
26038,180 centimetre
26039,21.7 centimetre
26040,21.7 centimetre
26041,1.5 centimetre
26042,10.7 centimetre
26043,3 inches
26044,3 inches
26045,60 centimetre
26046,60 centimetre
26047,
26048,
26049,
26050,33.49 centimetre
26051,33.49 centimetre
26052,33.49 centimetre
26053,37.4 inch
26054,"1,50m"
26055,8.6 centimetre
26056,77 millimetre
26057,77 millimetre
26058,77 millimetre
26059,42 centimetre
26060,42 centimetre
26061,3.75 inch
26062,2.95 inch
26063,3.75 inch
26064,2.8 inch
26065,80 centimetre
26066,40 centimetre
26067,39 centimetre
26068,110 pounds
26069,7.5 centimetre
26070,7.5 centimetre
26071,18 inch
26072,15 centimetre
26073,
26074,1 lb
26075,1 ounce
26076,109.1 centimetre
26077,8.3 centimetre
26078,14.7 inch
26079,72 inch
26080,1 inch
26081,100 millilitre
26082,
26083,42.5 inches
26084,0 gram
26085,1.7 inch
26086,about 9cm
26087,110 centimetre
26088,90 centimetre
26089,
26090,5.9 centimetre
26091,28 centimetre
26092,9 centimetre
26093,9 centimetre
26094,13 centimetre
26095,3.5 inch
26096,29.5 centimetre
26097,1 centimetre
26098,50 x 200cm
26099,200 centimetre
26100,22.1 gram
26101,42 centimetre
26102,70 centimetre
26103,23 kilogram
26104,2.3 kilogram
26105,2.3 kilogram
26106,14 centimetre
26107,14 centimetre
26108,fl ounce
26109,30 centimetre
26110,14.5 centimetre
26111,
26112,15.7 inch
26113,7.08 inch
26114,1.85 inch
26115,"2.35"""
26116,80 centimetre
26117,
26118,30 millimetre
26119,30 millimetre
26120,300 millimetre
26121,13.18 centimetre
26122,10 centimetre
26123,10 centimetre
26124,80mm 215mm
26125,
26126,115 millimetre
26127,115 millimetre
26128,18.5 centimetre
26129,10 centimetre
26130,10 lb
26131,8 fl ounce
26132,24 millimetre
26133,5.1 volts
26134,35 centimetre
26135,4.7 inch
26136,17.87 inch
26137,16 centimetre
26138,1.65 centimetre
26139,12 volts
26140,2.7 watts
26141,50 millimetre
26142,12 volts
26143,9.5 centimetre
26144,15 centimetre
26145,32 ounce
26146,1.6 centimetre
26147,3.2 centimetre
26148,1.6 centimetre
26149,43 centimetre
26150,7.3 inch
26151,11.6 inch
26152,170 gram
26153,12 ounce
26154,1200 centimetre
26155,265 pounds
26156,3.8 inch
26157,3.8 inch
26158,10 centimetre
26159,78.74 inch
26160,14 centimetre
26161,35 centimetre
26162,730 millimetre
26163,230 millimetre
26164,15 centimetre
26165,What is the item depth? Mention the unit too
26166,What is the item height? Mention the unit too
26167,What is the item net weight? Mention the unit too
26168,What is the item depth? Mention the unit too
26169,What is the item height? Mention the unit too
26170,What is the item width? Mention the unit too
26171,5 centimetre
26172,
26173,90 centimetre
26174,
26175,
26176,19.5 centimetre
26177,2.4 centimetre
26178,2.4 centimetre
26179,2.4 centimetre
26180,60 centimetre
26181,28 centimetre
26182,18 centimetre
26183,38 millimetre
26184,38 millimetre
26185,8.5 inch
26186,1.5 centimetre
26187,1.57 centimetre
26188,103 centimetre
26189,42 centimetre
26190,"2.1"""
26191,5.5 inch
26192,1.5 centimetre
26193,42 centimetre
26194,11 centimetre
26195,"2.17"""
26196,356 gram
26197,1.5 volt
26198,6.1 watt
26199,12 centimetre
26200,13 centimetre
26201,0.7 centimetre
26202,14.2 inch
26203,15 centimetre
26204,"17.7"""
26205,
26206,"60.3"""
26207,
26208,70 in 21 in 23 inch
26209,31.5 centimetre
26210,15 gram
26211,65 millimetre
26212,"40"""
26213,
26214,
26215,0.32 pounds
26216,
26217,11.1 centimetre
26218,7.87 centimetre
26219,15 centimetre
26220,5.91 inch
26221,26 centimetre
26222,54 millimetre
26223,54 millimetre
26224,2.3 lb
26225,
26226,"1.8"""
26227,1.65 inch
26228,55 centimetre
26229,100 centimetre
26230,15 centimetre
26231,18 centimetre
26232,"9.4"""
26233,24 centimetre
26234,11.41 inch
26235,6.8 centimetre
26236,6.8 centimetre
26237,23.3 centimetre
26238,3.2 centimetre
26239,3.2 centimetre
26240,3.2 centimetre
26241,115 millimetre
26242,108 millimetre
26243,9 centimetre
26244,18.3 centimetre
26245,13 centimetre
26246,5.4 centimetre
26247,5.8 centimetre
26248,12 volts
26249,2.5 watts
26250,13 centimetre
26251,13 centimetre
26252,22 inch
26253,22 inch
26254,300 millimetre
26255,300 millimetre
26256,12 centimetre
26257,12 inch
26258,6 pounds
26259,79 centimetre
26260,16 centimetre
26261,16 centimetre
26262,16 centimetre
26263,32 centimetre
26264,15 centimetre
26265,12 centimetre
26266,40.5 in 103 centimetre
26267,103 centimetre
26268,103 centimetre
26269,24 centimetre
26270,"24"""
26271,35 volt
26272,10-46lbs
26273,3 centimetre
26274,1.2 centimetre
26275,5.3 centimetre
26276,1.5 inch
26277,"4.7"""
26278,"9.3"""
26279,"4.7"""
26280,120.0 volts
26281,120.0 volts
26282,150 millimetre
26283,2 metre
26284,1.05 metre
26285,3.7 inch
26286,3.7 inch
26287,3.5 centimetre
26288,1.9 inch
26289,1.9 inch
26290,15 centimetre
26291,60 millimetre
26292,35.4 inch
26293,11 centimetre
26294,5.1 inch
26295,1.3 centimetre
26296,160 millimetre
26297,125mm 160mm
26298,9.5 centimetre
26299,4.9 inch
26300,4.9 inch
26301,3.23 ounce
26302,15.5 centimetre
26303,7.5 centimetre
26304,22.5 centimetre
26305,31.4 centimetre
26306,40 pounds
26307,5.9 inch
26308,15 centimetre
26309,26 centimetre
26310,250 centimetre
26311,17.7 centimetre
26312,17.7 centimetre
26313,17.7 centimetre
26314,"3.75"""
26315,"30.1"""
26316,
26317,1 centimetre
26318,3500 pounds
26319,0.8 inch
26320,100 centimetre
26321,17.7 centimetre
26322,
26323,7.5 centimetre
26324,1.85 centimetre
26325,25 millimetre
26326,25 millimetre
26327,6.9 inch
26328,1.9 inch
26329,29.5 centimetre
26330,14.8 centimetre
26331,9.5 centimetre
26332,8 fl ounce
26333,"4.3"""
26334,"2.8"""
26335,113 centimetre
26336,60 centimetre
26337,3.5 inch
26338,3.5 inch
26339,60 centimetre
26340,24 centimetre
26341,32 centimetre
26342,2.67 inch
26343,2.67 inch
26344,"2"""
26345,25 centimetre
26346,"2"""
26347,30.5 centimetre
26348,41 centimetre
26349,14 centimetre
26350,220 pounds
26351,26 centimetre
26352,6.3 centimetre
26353,4.2 kilogram
26354,4.2 kilogram
26355,10.5 centimetre
26356,12 centimetre
26357,2.2 centimetre
26358,2.2 centimetre
26359,1 centimetre
26360,
26361,1 centimetre
26362,
26363,153 centimetre
26364,85 centimetre
26365,30.0 inch
26366,76 centimetre
26367,
26368,18.6 centimetre
26369,"30"""
26370,"75"""
26371,7.5 centimetre
26372,7.5 centimetre
26373,14.5 centimetre
26374,3.54 litre
26375,3.54 gram
26376,8 centimetre
26377,3.5 inch
26378,1.5 inch
26379,98 millimetre
26380,31 centimetre
26381,31 centimetre
26382,2.3 kilogram
26383,
26384,120 volts
26385,
26386,"84 cm 33.1"""
26387,6.5 centimetre
26388,4-5
26389,4-5
26390,10 centimetre
26391,30 centimetre
26392,1 inch
26393,5.5 inch
26394,3.2 inch
26395,3.2 inch
26396,3.2 inch
26397,115 centimetre
26398,3.2 inch
26399,0.7 inch
26400,7 centimetre
26401,7 centimetre
26402,16 inch
26403,30 ounce
26404,4.2 centimetre
26405,4.2 centimetre
26406,5 centimetre
26407,1.5 ounce
26408,10 centimetre
26409,8 centimetre
26410,"3.2"""
26411,8.38 ounce
26412,1.8 centimetre
26413,"57"""
26414,"30"""
26415,102 centimetre
26416,33.5 centimetre
26417,12 centimetre
